Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,percentil,risco
CAMPO ALEGRE DE GOIÁS,2026-06-19,0.0,5,6,4,1,0.0035722566058688,-17.478774899824252,-47.74286914863833,3.197674418604651,0.7405876432476874,0.8729508196721312,MÉDIO
ÁGUA FRIA DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0101031804750111,-14.959240097702764,-47.8720093319421,3.768421052631579,0.7234969758153139,0.8688524590163934,MÉDIO
NOVA ROMA,2026-06-19,0.0,2,6,4,1,0.0121329724157994,-13.714942640576536,-47.01834764226104,5.73015873015873,0.7088450871610384,0.8647540983606558,MÉDIO
VILA BOA,2026-06-19,0.0,5,6,4,1,0.0051088142736682,-14.984552679127855,-47.06563145675107,4.597402597402597,0.7007871246990162,0.860655737704918,MÉDIO
CALDAS NOVAS,2026-06-19,0.0,3,6,4,1,0.0032953661083077,-17.728174181219167,-48.609976896734885,3.2033898305084745,0.7006705886365518,0.8565573770491803,MÉDIO
VILA PROPÍCIO,2026-06-19,0.0,2,6,4,1,0.0090901304412674,-15.174992710889834,-48.74270162202432,3.1449275362318843,0.6943794686623328,0.8524590163934426,MÉDIO
CAMPINAÇU,2026-06-19,0.0,1,6,4,1,0.0107566420492554,-13.868181231222769,-48.55699372818981,7.882352941176471,0.6869738083676356,0.8483606557377049,MÉDIO
BOM JARDIM DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.006982809161162,-16.169600227866493,-52.08811808319062,3.295238095238095,0.6804611053488858,0.8442622950819673,MÉDIO
SILVÂNIA,2026-06-19,0.0,3,6,4,1,0.0024809388581478,-16.63901076782678,-48.5989267608625,2.824074074074074,0.678562969140657,0.8401639344262295,MÉDIO
ARAGUAPAZ,2026-06-19,0.0,2,6,4,1,0.0072685601546451,-15.139882625109504,-50.2765366521584,3.544117647058824,0.6783841593451606,0.8360655737704918,MÉDIO
MIMOSO DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0153441638128486,-15.0302729730905,-48.33825202036574,5.0,0.6757249359087809,0.8319672131147541,MÉDIO
ANÁPOLIS,2026-06-19,0.0,3,6,4,1,0.0025665903187268,-16.327248789404404,-48.95399874795129,2.279279279279279,0.6697012462844374,0.8278688524590164,MÉDIO
GOIÁS,2026-06-19,0.0,3,6,4,1,0.006679337175835,-15.910637681321438,-50.22587344128038,3.4526315789473685,0.6613402528168022,0.8237704918032787,MÉDIO
PIRACANJUBA,2026-06-19,0.0,3,6,4,1,0.0031550749228767,-17.359788624438703,-49.008963459189445,2.4878048780487805,0.6534558256742207,0.819672131147541,MÉDIO
ARUANÃ,2026-06-19,0.0,2,6,4,1,0.0055090133394766,-14.80056233565119,-50.9660645783424,5.5,0.652358181037756,0.8155737704918032,MÉDIO
PIRENÓPOLIS,2026-06-19,0.0,2,6,4,1,0.0060856839490639,-15.78834605245366,-48.98248540918748,2.509433962264151,0.650304763575066,0.8114754098360656,MÉDIO
MORRINHOS,2026-06-19,0.0,3,6,4,1,0.0046879407173752,-17.747080471125827,-49.18201398317284,2.7681159420289854,0.6461414945798489,0.8073770491803278,MÉDIO
ANICUNS,2026-06-19,0.0,4,6,4,1,0.0028693239293936,-16.386618352812665,-49.96569453715062,2.6095238095238096,0.6431434069509813,0.8032786885245902,MÉDIO
ALVORADA DO NORTE,2026-06-19,0.0,2,6,4,1,0.0069111868191262,-14.578913930149612,-46.62741788371978,4.3125,0.638902424931145,0.7991803278688525,MÉDIO
POSSE,2026-06-19,0.0,3,6,4,1,0.0078828878719008,-14.196997106543726,-46.3411011854588,3.027027027027027,0.638386655270152,0.7950819672131147,MÉDIO
MONTIVIDIU DO NORTE,2026-06-19,0.0,2,6,4,1,0.0055422401991839,-13.157797966650936,-48.70583895092373,7.462962962962963,0.6321789157618463,0.7909836065573771,MÉDIO
CABECEIRAS,2026-06-19,0.0,2,6,4,1,0.0021161817760273,-15.753711869204832,-46.99550025639795,4.791666666666667,0.6289806766979167,0.7868852459016393,MÉDIO
SENADOR CANEDO,2026-06-19,0.0,5,6,4,1,0.0015070226813928,-16.72174558705297,-49.12425814633367,2.8767123287671232,0.6197481120791671,0.7827868852459017,MÉDIO
PIRANHAS,2026-06-19,0.0,3,6,4,1,0.0030155221121059,-16.447787530113146,-51.854078169184085,3.371794871794872,0.6194745322530537,0.7786885245901639,MÉDIO
SÍTIO D'ABADIA,2026-06-19,0.0,2,6,4,1,0.0063869408104104,-14.729138480039394,-46.29929381822457,5.327586206896552,0.6186444285841226,0.7745901639344263,MÉDIO
HIDROLÂNDIA,2026-06-19,0.0,5,6,4,1,0.001757331691188,-17.00595303936355,-49.2631795818899,2.1594202898550723,0.6164246646547785,0.7704918032786885,MÉDIO
CEZARINA,2026-06-19,0.0,5,6,4,1,0.0010817188771388,-17.034689299189036,-49.7756844762151,1.1111111111111112,0.6146894562077173,0.7663934426229508,MÉDIO
ORIZONA,2026-06-19,0.0,4,6,4,1,0.0020201930702061,-17.02708940860277,-48.16569268300261,2.0625,0.6134963251606098,0.7622950819672131,MÉDIO
COLINAS DO SUL,2026-06-19,0.0,2,6,4,1,0.0162671321380524,-13.94148455899416,-48.086108285372966,5.053571428571429,0.6131295103540866,0.7581967213114754,MÉDIO
IACIARA,2026-06-19,0.0,2,6,4,1,0.0029911557483205,-14.108153980696324,-46.79592329445353,7.594202898550725,0.6072722850052312,0.7540983606557377,MÉDIO
GOIANÉSIA,2026-06-19,0.0,2,6,4,1,0.0033721570729647,-15.235935983775684,-49.19339896780853,2.430379746835443,0.6060893013112293,0.75,MÉDIO
MONTES CLAROS DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0036261579560608,-15.873326931416043,-51.59664771775818,4.019230769230769,0.6058821272715819,0.7459016393442623,MÉDIO
JARAGUÁ,2026-06-19,0.0,2,6,4,1,0.0027460153611464,-15.684175632573451,-49.36723779617128,2.119047619047619,0.6040081259236381,0.7418032786885246,MÉDIO
MARA ROSA,2026-06-19,0.0,2,6,4,1,0.0037022105460575,-13.999770100704,-49.390664925569126,2.625,0.603739642124951,0.7377049180327869,MÉDIO
ITABERAÍ,2026-06-19,0.0,2,6,4,1,0.0036438789479047,-16.076051965486666,-49.86875528845477,3.0,0.6033562254930729,0.7336065573770492,MÉDIO
SANTA ISABEL,2026-06-19,0.0,2,6,4,1,0.0024432817504795,-15.200546008094864,-49.40043024932847,6.6415094339622645,0.6019175374130215,0.7295081967213115,MÉDIO
ABADIÂNIA,2026-06-19,0.0,3,6,4,1,0.0021287341452501,-16.19915712906121,-48.70814271576387,2.414634146341464,0.6008553351327318,0.7254098360655737,MÉDIO
COCALZINHO DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0042582066651603,-15.644454575968023,-48.59695917813067,2.492063492063492,0.6006352149582692,0.7213114754098361,MÉDIO
SÃO LUIZ DO NORTE,2026-06-19,0.0,3,6,4,1,0.0024484503731007,-14.905980936295272,-49.283790673643686,3.3375,0.598332407800366,0.7172131147540983,MÉDIO
GOIATUBA,2026-06-19,0.0,3,6,4,1,0.0047403653182468,-17.991078799174332,-49.72506729400575,2.75,0.585563969226676,0.7131147540983607,MÉDIO
ITAPACI,2026-06-19,0.0,2,6,4,1,0.0027290327439626,-14.955491253186096,-49.62493326485581,2.6666666666666665,0.5831658668856406,0.7090163934426229,MÉDIO
SANTO ANTÔNIO DO DESCOBERTO,2026-06-19,0.0,2,6,4,1,0.002381996653686,-16.02598615253068,-48.28800335138823,2.3076923076923075,0.574404237756139,0.7049180327868853,MÉDIO
NOVA GLÓRIA,2026-06-19,0.0,3,6,4,1,0.0023332639261152,-15.080904022970325,-49.5127373729181,2.68,0.5727646752488302,0.7008196721311475,MÉDIO
ITARUMÃ,2026-06-19,0.0,3,6,4,1,0.0046421614884451,-18.86462245523424,-51.33580667861621,4.627118644067797,0.5723350202020188,0.6967213114754098,BAIXO
APORÉ,2026-06-19,0.0,3,6,4,1,0.0023280953034941,-18.7073526543005,-52.08304620766298,4.466666666666667,0.5693468605116744,0.6926229508196722,BAIXO
SANTA RITA DO NOVO DESTINO,2026-06-19,0.0,2,6,4,1,0.0025961253051333,-14.819117187607606,-49.03969360530454,4.5588235294117645,0.5673490647973256,0.6885245901639344,BAIXO
PIRES DO RIO,2026-06-19,0.0,4,6,4,1,0.0018075411680791,-17.230327492515848,-48.40629032850881,3.636363636363636,0.5630478665792636,0.6844262295081968,BAIXO
BALIZA,2026-06-19,0.0,2,6,4,1,0.0094534107740676,-16.335498056525363,-52.47044379945877,2.369565217391304,0.562886921758643,0.680327868852459,BAIXO
AMARALINA,2026-06-19,0.0,3,6,4,1,0.0035235238782981,-13.848529827205882,-49.56903226128027,2.5098039215686274,0.5564023073435131,0.6762295081967213,BAIXO
TRINDADE,2026-06-19,0.0,5,6,4,1,0.0016598662360465,-16.650075769653657,-49.51836291274552,1.6708860759493671,0.5542066956301824,0.6721311475409836,BAIXO
PALMEIRAS DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0026522417793057,-16.814514481269185,-49.9450199537401,2.2916666666666665,0.5524675075027612,0.6680327868852459,BAIXO
SANTA TEREZINHA DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0023960257722291,-14.32429478078316,-49.65930833489798,4.050847457627119,0.5524252433447046,0.6639344262295082,BAIXO
SANTA HELENA DE GOIÁS,2026-06-19,0.1,0,6,4,1,0.0065552902329276,-17.809635495091406,-50.550434417318826,5.549295774647887,0.5511136515350294,0.6598360655737705,BAIXO
APARECIDA DE GOIÂNIA,2026-06-19,0.0,3,6,4,1,0.0013357197602349,-16.80602601231046,-49.24588428522596,1.7731958762886595,0.5508972053687385,0.6557377049180327,BAIXO
MUNDO NOVO,2026-06-19,0.0,3,6,4,1,0.0027504456091074,-13.777534650060309,-50.25180240334917,2.9692307692307693,0.5506513377904797,0.6516393442622951,BAIXO
EDÉIA,2026-06-19,0.0,4,6,4,1,0.0040093744046854,-17.509361464280108,-50.00172531667008,2.9791666666666665,0.5469908969922553,0.6475409836065574,BAIXO
BONÓPOLIS,2026-06-19,0.0,1,6,4,1,0.0027253408706618,-13.56457655433514,-49.78488929257367,3.725,0.5435728654271287,0.6434426229508197,BAIXO
ACREÚNA,2026-06-19,0.0,3,6,4,1,0.0050453140528942,-17.48826970830257,-50.32369400069289,3.42,0.5398539068790992,0.639344262295082,BAIXO
CAMPINORTE,2026-06-19,0.0,3,6,4,1,0.0043180150126335,-14.019192669554034,-48.931304030265736,2.239130434782609,0.5371496758277294,0.6352459016393442,BAIXO
ITAPURANGA,2026-06-19,0.0,2,6,4,1,0.0018466750250678,-15.577224810549591,-49.933817512866845,2.2222222222222223,0.5362968706391855,0.6311475409836066,BAIXO
BOM JESUS DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0043556721203019,-18.192311694542585,-49.92073113922121,2.872727272727273,0.5278843258728174,0.6270491803278688,BAIXO
INDIARA,2026-06-19,0.0,5,6,4,1,0.0023591070392209,-17.22357364537349,-49.96111627583188,2.575,0.5269693380924813,0.6229508196721312,BAIXO
MUTUNÓPOLIS,2026-06-19,0.0,1,6,4,1,0.0021346411425314,-13.711606278817616,-49.31418113591433,5.033898305084746,0.5223118617266193,0.6188524590163934,BAIXO
QUIRINÓPOLIS,2026-06-19,0.0,4,6,4,1,0.0039104322002235,-18.344498864270253,-50.57761418506451,3.3095238095238093,0.5014652052116315,0.6147540983606558,BAIXO
CORUMBAÍBA,2026-06-19,0.0,3,6,4,1,0.0016332847482806,-18.048104715395148,-48.4749049622824,2.3191489361702127,0.5012161365477407,0.610655737704918,BAIXO
BELA VISTA DE GOIÁS,2026-06-19,0.0,5,6,4,1,0.002201094861946,-16.95106540676648,-48.933601465935,1.6,0.49931000490367045,0.6065573770491803,BAIXO
INHUMAS,2026-06-19,0.0,5,6,4,1,0.0011282364807291,-16.318242778189063,-49.50186836687853,1.9130434782608696,0.4943253208431553,0.6024590163934426,BAIXO
CORUMBÁ DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0013837141131455,-15.898613517797502,-48.71659334472278,2.606060606060606,0.4931783231893577,0.5983606557377049,BAIXO
ÁGUAS LINDAS DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0010477536427713,-15.740323677414423,-48.27077651213715,1.6349206349206349,0.49077582632947736,0.5942622950819673,BAIXO
PORTEIRÃO,2026-06-19,0.0,4,6,4,1,0.002961620761914,-17.91222565304729,-50.164965023771295,3.433333333333333,0.4898165355095673,0.5901639344262295,BAIXO
FAINA,2026-06-19,0.0,2,6,4,1,0.0040012522834236,-15.450502453569465,-50.35323063719383,2.484848484848485,0.4850706887843968,0.5860655737704918,BAIXO
NOVO PLANALTO,2026-06-19,0.0,1,6,4,1,0.0015786450234286,-13.224864863175409,-49.711211164352655,4.092307692307692,0.48378507508762997,0.5819672131147541,BAIXO
ALEXÂNIA,2026-06-19,0.0,3,6,4,1,0.0011895215775226,-16.07491682926853,-48.49287370127031,1.9056603773584904,0.4764420805785178,0.5778688524590164,BAIXO
VICENTINÓPOLIS,2026-06-19,0.0,4,6,4,1,0.0018865472567166,-17.717102371829977,-49.92046965643163,4.85,0.4744045852129027,0.5737704918032787,BAIXO
TURVELÂNDIA,2026-06-19,0.0,4,6,4,1,0.0033884013154882,-17.8061094010701,-50.31150433875028,2.41025641025641,0.4739765582771669,0.569672131147541,BAIXO
MOZARLÂNDIA,2026-06-19,0.0,2,6,4,1,0.0020120709489443,-14.81638418252236,-50.609316979892746,2.8541666666666665,0.4739169879325086,0.5655737704918032,BAIXO
TERESINA DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0045387890360223,-13.661127323864664,-47.23879651180497,3.9615384615384617,0.4669500176202165,0.5614754098360656,BAIXO
PALESTINA DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0016318079989603,-16.713753711842983,-51.42754199497641,2.933333333333333,0.46690564172055427,0.5573770491803278,BAIXO
SANTA CRUZ DE GOIÁS,2026-06-19,0.0,4,6,4,1,0.0013851908624659,-17.372324572144244,-48.58985156059331,2.351351351351352,0.4612089585535766,0.5532786885245902,BAIXO
CAÇU,2026-06-19,0.0,3,6,4,1,0.0017366572007035,-18.69115169498673,-51.169522816602274,4.6,0.4600831728792642,0.5491803278688525,BAIXO
ITAJÁ,2026-06-19,0.0,3,6,4,1,0.0019995185797215,-19.086946202574843,-51.34562507108249,2.5384615384615383,0.4599989478165691,0.5450819672131147,BAIXO
GUARANI DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0039702405476967,-13.896234842419478,-46.35992556272503,3.25,0.45666761962120583,0.5409836065573771,BAIXO
SANTA TEREZA DE GOIÁS,2026-06-19,0.0,1,6,4,1,0.0022261996003916,-13.615351655700474,-48.99769110324295,3.5405405405405403,0.4559692160196935,0.5368852459016393,BAIXO
SANTA FÉ DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0017765294323523,-15.695835336846852,-51.16880663261477,4.266666666666667,0.45232857673488064,0.5327868852459017,BAIXO
IVOLÂNDIA,2026-06-19,0.0,3,6,4,1,0.0014804411936269,-16.679987246814406,-50.98325370232422,3.4878048780487805,0.4518079792628488,0.5286885245901639,BAIXO
GUAPÓ,2026-06-19,0.0,5,6,4,1,0.0013896211104268,-16.923914459668058,-49.58948320140861,2.5,0.4414618038199089,0.5245901639344263,BAIXO
URUTAÍ,2026-06-19,0.0,4,6,4,1,0.001073596755877,-17.44233047699522,-48.19865040570893,2.357142857142857,0.43748967570796904,0.5204918032786885,BAIXO
SANTA RITA DO ARAGUAIA,2026-06-19,0.0,2,6,4,1,0.0016871860984725,-17.30441364463477,-53.10068255768836,2.236842105263158,0.43454805626024945,0.5163934426229508,BAIXO
ARENÓPOLIS,2026-06-19,0.0,2,6,4,1,0.0016960465943945,-16.361902054815086,-51.55715988814804,2.2413793103448274,0.43342661896621376,0.5122950819672131,BAIXO
MOSSÂMEDES,2026-06-19,0.0,5,6,4,1,0.002096984034863,-16.138102134284225,-50.1950255261411,1.875,0.43321370451117314,0.5081967213114754,BAIXO
MATRINCHÃ,2026-06-19,0.0,3,6,4,1,0.0013534407520788,-15.332925918372275,-50.75330754036656,3.5454545454545454,0.43167442420630253,0.5040983606557377,BAIXO
UIRAPURU,2026-06-19,0.0,3,6,4,1,0.0023568919152404,-14.1658704952681,-49.9660646641288,1.8823529411764703,0.42934170163748364,0.5,BAIXO
ITAPIRAPUÃ,2026-06-19,0.0,2,6,4,1,0.0013726384932431,-15.75718984044679,-50.7465760866374,2.4242424242424243,0.42549640553489115,0.4959016393442623,BAIXO
RUBIATABA,2026-06-19,0.0,2,6,4,1,0.0012448996770349,-15.197347826385103,-49.85541149603293,2.3846153846153846,0.42405664161496065,0.4918032786885246,BAIXO
NOVA IGUAÇU DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0017403490740043,-14.335840325249317,-49.31212409374217,2.3043478260869565,0.4195041591405761,0.48770491803278687,BAIXO
TROMBAS,2026-06-19,0.0,2,6,4,1,0.0034592852828639,-13.45565441683509,-48.69444724203579,1.818181818181818,0.41861935127390804,0.48360655737704916,BAIXO
FORMOSO,2026-06-19,0.0,2,6,4,1,0.0027740735982326,-13.7157591183698,-48.828383563721786,1.8333333333333333,0.4172727756692359,0.47950819672131145,BAIXO
CHAPADÃO DO CÉU,2026-06-19,0.0,2,6,4,1,0.0062939056032299,-18.41837474627293,-52.650980123044505,15.272727272727272,0.41652623938922423,0.47540983606557374,BAIXO
FAZENDA NOVA,2026-06-19,0.0,6,6,4,1,0.0038077981224609,-16.080235263157753,-50.93137671149489,2.647058823529412,0.41630052294438663,0.4713114754098361,BAIXO
CAMPOS BELOS,2026-06-19,0.0,2,6,4,1,0.0053953036418114,-12.986995843211018,-46.42094914457776,2.765957446808511,0.41439933295223347,0.4672131147540984,BAIXO
IPORÁ,2026-06-19,0.0,3,6,4,1,0.0012958475285861,-16.39958999360689,-51.174760035598624,1.6444444444444444,0.40469356308701054,0.46311475409836067,BAIXO
BRITÂNIA,2026-06-19,0.0,2,6,4,1,0.0024949679766909,-15.098256086081884,-51.20240394542521,1.631578947368421,0.4031053892647783,0.45901639344262296,BAIXO
GOIANÁPOLIS,2026-06-19,0.0,3,6,4,1,0.0013534407520788,-16.52798048733482,-49.09369703759325,1.7692307692307692,0.400505240913987,0.45491803278688525,BAIXO
DIORAMA,2026-06-19,0.0,3,6,4,1,0.0011001782436429,-16.22661972062711,-51.389931230721885,4.384615384615385,0.3960137581876069,0.45081967213114754,BAIXO
NOVO GAMA,2026-06-19,0.0,3,6,4,1,0.0008040900049175,-16.10973108267564,-48.07263803458282,1.9787234042553192,0.39480365654072325,0.44672131147540983,BAIXO
RIALMA,2026-06-19,0.0,2,6,4,1,0.0012478531756755,-15.319958184167618,-49.53010326892392,1.5483870967741935,0.3940689790245484,0.4426229508196721,BAIXO
ARAGARÇAS,2026-06-19,0.0,3,6,4,1,0.0016207323790579,-15.9954744133776,-52.195114826594455,1.809523809523809,0.39288538461696704,0.4385245901639344,BAIXO
MONTIVIDIU,2026-06-19,0.0,3,6,4,1,0.0017492095699262,-17.302834146829042,-51.19610715003383,1.625,0.3924100599280567,0.4344262295081967,BAIXO
CIDADE OCIDENTAL,2026-06-19,0.0,3,6,4,1,0.0009805615486965,-16.103552382328953,-47.86022791897977,1.9230769230769231,0.39205251238847927,0.430327868852459,BAIXO
DIVINÓPOLIS DE GOIÁS,2026-06-19,0.0,1,6,4,1,0.001997303455741,-13.286303429360114,-46.52383420100133,3.909090909090909,0.39103457049240936,0.4262295081967213,BAIXO
VIANÓPOLIS,2026-06-19,0.0,3,6,4,1,0.0007620026492882,-16.848283967930477,-48.46851922795139,2.1052631578947367,0.3842058960229799,0.42213114754098363,BAIXO
MAURILÂNDIA,2026-06-19,0.1,0,6,4,1,0.0023303104274746,-18.03750092993941,-50.36063856125698,4.36,0.3821682685397532,0.4180327868852459,BAIXO
VALPARAÍSO DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0004061060630896,-16.08965315501241,-47.98624179015667,2.023809523809524,0.3802178300347134,0.4139344262295082,BAIXO
PETROLINA DE GOIÁS,2026-06-19,0.0,3,6,4,1,0.0007716015198704,-16.11674724559263,-49.318512368591655,3.56,0.3652782327073462,0.4098360655737705,BAIXO
MAMBAÍ,2026-06-19,0.0,2,6,4,1,0.005212186726091,-14.387997990140692,-46.051088000383096,5.1923076923076925,0.36232392119114737,0.4057377049180328,BAIXO
JANDAIA,2026-06-19,0.0,3,6,4,1,0.0011570330924755,-17.140823818775164,-50.18439081477384,3.55,0.36219523498251927,0.4016393442622951,BAIXO
GUARINOS,2026-06-19,0.0,2,6,4,1,0.0012316089331519,-14.677563689499642,-49.737239130745,2.75,0.35928218865080375,0.3975409836065574,BAIXO
PILAR DE GOIÁS,2026-06-19,0.0,2,6,4,1,0.0022653334573802,-14.563053642806697,-49.51029317946296,1.4210526315789471,0.3581026542382975,0.39344262295081966,BAIXO
SIMOLÂNDIA,2026-06-19,0.0,2,6,4,1,0.0011799227069405,-14.434586326028946,-46.58882654789143,2.5789473684210527,0.35588260007271755,0.38934426229508196,BAIXO
SANTO ANTÔNIO DA BARRA,2026-06-19,0.0,3,6,4,1,0.0012611439195585,-17.55961474151254,-50.63551540775774,3.2962962962962963,0.35110269821794515,0.38524590163934425,BAIXO
CAMPOS VERDES,2026-06-19,0.0,2,6,4,1,0.0009022938347192,-14.200869051269477,-49.67078102066461,3.28,0.350519232243552,0.38114754098360654,BAIXO
TEREZÓPOLIS DE GOIÁS,2026-06-19,0.0,5,6,4,1,0.0007612642746281,-16.451781768427683,-49.07980840150495,2.125,0.35030315340568846,0.3770491803278688,BAIXO
LEOPOLDO DE BULHÕES,2026-06-19,0.0,3,6,4,1,0.0009037705840395,-16.556636131106096,-48.89337232999825,1.9428571428571428,0.3500068744684396,0.3729508196721312,BAIXO
