Modelo,val_auc,te_auc,te_f1,te_prec,te_rec
LightGBM,0.8355745579107332,0.8276625789625809,0.45344835942422335,0.32631138392857145,0.7428934413212641
XGBoost,0.8351912587904278,0.8266180872199135,0.46150441325799985,0.3433347538062217,0.7037081149753851
Random Forest,0.8325909997742089,0.8238601070656346,0.45097631144028894,0.326017310653663,0.7312609178974114
