Municipio,Contagem,Latitude,Longitude,Municipio_Freq
PORTEIRÃO,4011,-17.91222565304729,-50.164965023771295,0.0029616207619140443
ANICUNS,3886,-16.386618352812665,-49.96569453715062,0.0028693239293936614
FORMOSO,3757,-13.7157591183698,-48.828383563721786,0.0027740735982326264
MUNDO NOVO,3725,-13.777534650060309,-50.251802403349174,0.0027504456091074084
JARAGUÁ,3719,-15.684175632573453,-49.367237796171274,0.00274601536114643
ITAPACI,3696,-14.955491253186096,-49.62493326485581,0.0027290327439626794
BONÓPOLIS,3691,-13.56457655433514,-49.784889292573666,0.0027253408706618644
PALMEIRAS DE GOIÁS,3592,-16.814514481269185,-49.9450199537401,0.002652241779305721
SANTA RITA DO NOVO DESTINO,3516,-14.819117187607606,-49.03969360530454,0.0025961253051333282
ANÁPOLIS,3476,-16.327248789404404,-48.95399874795129,0.002566590318726806
BRITÂNIA,3379,-15.098256086081884,-51.20240394542521,0.0024949679766909888
SILVÂNIA,3360,-16.63901076782678,-48.598926760862504,0.0024809388581478907
SÃO LUIZ DO NORTE,3316,-14.905980936295272,-49.283790673643686,0.0024484503731007157
PEROLÂNDIA,3313,-17.53130275403183,-52.205615580294655,0.0024462352491202268
SANTA ISABEL,3309,-15.200546008094863,-49.40043024932847,0.002443281750479574
SANTA TEREZINHA DE GOIÁS,3245,-14.32429478078316,-49.65930833489798,0.0023960257722291383
SANTO ANTÔNIO DO DESCOBERTO,3226,-16.02598615253068,-48.28800335138823,0.00238199665368604
INDIARA,3195,-17.22357364537349,-49.96111627583188,0.002359107039220985
UIRAPURU,3192,-14.1658704952681,-49.9660646641288,0.002356891915240496
NOVA GLÓRIA,3160,-15.080904022970325,-49.5127373729181,0.002333263926115278
MAURILÂNDIA,3156,-18.037500929939412,-50.360638561256984,0.002330310427474626
APORÉ,3153,-18.7073526543005,-52.08304620766298,0.0023280953034941366
PILAR DE GOIÁS,3068,-14.563053642806695,-49.51029317946296,0.002265333457380276
SANTA TEREZA DE GOIÁS,3015,-13.615351655700474,-48.99769110324295,0.002226199600391634
BELA VISTA DE GOIÁS,2981,-16.95106540676648,-48.933601465935,0.00220109486194609
MUTUNÓPOLIS,2891,-13.711606278817616,-49.31418113591433,0.0021346411425314142
ABADIÂNIA,2883,-16.19915712906121,-48.70814271576387,0.00212873414525011
CABECEIRAS,2866,-15.753711869204833,-46.99550025639795,0.0021161817760273374
MOSSÂMEDES,2840,-16.138102134284225,-50.1950255261411,0.0020969840348630977
ORIZONA,2736,-17.02708940860277,-48.16569268300261,0.0020201930702061395
MOZARLÂNDIA,2725,-14.81638418252236,-50.609316979892746,0.0020120709489443458
ITAJÁ,2708,-19.086946202574843,-51.34562507108249,0.0019995185797215737
DIVINÓPOLIS DE GOIÁS,2705,-13.286303429360114,-46.52383420100133,0.0019973034557410844
VICENTINÓPOLIS,2555,-17.717102371829977,-49.92046965643163,0.001886547256716625
ITAPURANGA,2501,-15.577224810549591,-49.933817512866845,0.0018466750250678197
PIRES DO RIO,2448,-17.230327492515848,-48.40629032850881,0.0018075411680791775
SANTA FÉ DE GOIÁS,2406,-15.695835336846853,-51.16880663261477,0.0017765294323523289
HIDROLÂNDIA,2380,-17.00595303936355,-49.2631795818899,0.0017573316911880892
MONTIVIDIU,2369,-17.302834146829042,-51.19610715003383,0.0017492095699262954
NOVA IGUAÇU DE GOIÁS,2357,-14.335840325249317,-49.31212409374217,0.0017403490740043387
CAÇU,2352,-18.69115169498673,-51.169522816602274,0.0017366572007035234
ARENÓPOLIS,2297,-16.361902054815086,-51.557159888148036,0.001696046594394555
SANTA RITA DO ARAGUAIA,2285,-17.30441364463477,-53.10068255768836,0.0016871860984725982
TRINDADE,2248,-16.650075769653657,-49.51836291274552,0.001659866236046565
CORUMBAÍBA,2212,-18.048104715395148,-48.4749049622824,0.0016332847482806946
PALESTINA DE GOIÁS,2210,-16.713753711842983,-51.42754199497641,0.0016318079989603685
ARAGARÇAS,2195,-15.9954744133776,-52.195114826594455,0.0016207323790579226
NOVO PLANALTO,2138,-13.224864863175407,-49.711211164352655,0.001578645023428628
SENADOR CANEDO,2041,-16.72174558705297,-49.124258146333666,0.0015070226813928109
IVOLÂNDIA,2005,-16.679987246814406,-50.98325370232422,0.0014804411936269405
CASTELÂNDIA,1966,-18.147960130853747,-50.30679359237395,0.0014516445818805812
PONTALINA,1949,-17.54112629308756,-49.564098353299734,0.0014390922126578092
GUAPÓ,1882,-16.923914459668058,-49.58948320140861,0.001389621110426884
SANTA CRUZ DE GOIÁS,1876,-17.372324572144244,-48.58985156059331,0.0013851908624659055
CORUMBÁ DE GOIÁS,1874,-15.898613517797502,-48.71659334472278,0.0013837141131455794
ITAPIRAPUÃ,1859,-15.75718984044679,-50.7465760866374,0.0013726384932431334
GOIANÁPOLIS,1833,-16.52798048733482,-49.09369703759325,0.0013534407520788938
MATRINCHÃ,1833,-15.332925918372275,-50.753307540366556,0.0013534407520788938
APARECIDA DE GOIÂNIA,1809,-16.80602601231046,-49.245884285225955,0.0013357197602349804
INACIOLÂNDIA,1763,-18.422363375480977,-49.93462547993578,0.0013017545258674796
IPORÁ,1755,-16.39958999360689,-51.174760035598624,0.001295847528586175
CACHOEIRA ALTA,1737,-18.461936889018936,-50.986796026872774,0.00128255678470324
SANTO ANTÔNIO DA BARRA,1708,-17.55961474151254,-50.63551540775774,0.001261143919558511
RIALMA,1690,-15.319958184167618,-49.530103268923924,0.0012478531756755758
RUBIATABA,1686,-15.197347826385105,-49.85541149603293,0.0012448996770349236
GUARINOS,1668,-14.677563689499642,-49.737239130744996,0.0012316089331519885
PORTELÂNDIA,1638,-17.363742774222114,-52.70044038012558,0.0012094576933470967
ALEXÂNIA,1611,-16.07491682926853,-48.492873701270305,0.001189521577522694
SIMOLÂNDIA,1598,-14.434586326028946,-46.58882654789143,0.0011799227069405741
JANDAIA,1567,-17.140823818775164,-50.184390814773835,0.0011570330924755192
PANAMÁ,1559,-18.199317807602675,-49.40058551258638,0.0011511260951942146
INHUMAS,1528,-16.318242778189063,-49.50186836687853,0.0011282364807291597
DIORAMA,1490,-16.22661972062711,-51.389931230721885,0.0011001782436429633
CEZARINA,1465,-17.034689299189036,-49.7756844762151,0.0010817188771388869
URUTAÍ,1454,-17.44233047699522,-48.19865040570893,0.0010735967558770931
ÁGUAS LINDAS DE GOIÁS,1419,-15.740323677414423,-48.27077651213715,0.0010477536427713858
PROFESSOR JAMIL,1406,-17.327766046172016,-49.247794003535574,0.0010381547721892662
JAUPACI,1390,-16.20973022325548,-51.05550430467066,0.001026340777626657
NERÓPOLIS,1360,-16.425056587028248,-49.17034091583095,0.0010041895378217652
